"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1_Avg","Indice_UV_2_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"2023-01-24 15:10:00",10,12.97,651.9,891,80.3,810,0.196,7.822,3.354,28.66,28.95,28.37,0.143,31.7,32.43,30.86,0.36,4.11,7.7,0.95,1.277,2.951,873.6618,0
"2023-01-24 15:20:00",11,12.97,619.6,880,76.73,776.5,0.187,7.47,3.203,28.47,29.36,27.66,0.504,31.48,33.08,29.81,0.83,3.777,7.7,0,1.442,2.902,873.6368,0
"2023-01-24 15:30:00",12,12.98,590.9,872,75.79,744.9,0.179,7.152,3.067,28.71,29.63,28.17,0.373,30.93,31.61,29.91,0.382,3.398,6.95,0,1.314,2.902,873.6209,0
"2023-01-24 15:40:00",13,12.98,558.8,859,74.87,711.2,0.17,6.816,2.923,29.27,29.9,28.44,0.488,30.38,31.51,29.26,0.597,3.994,8.45,0.95,1.604,2.927,873.5414,0
"2023-01-24 15:50:00",14,12.98,527.2,847,74.04,676.8,0.162,6.49,2.783,28.97,29.63,28.06,0.441,30.64,31.95,29.64,0.618,3.893,7.7,0,1.527,2.999,873.4874,0
"2023-01-24 16:00:00",15,12.95,490.1,823,73.76,636,0.154,6.168,2.645,28.69,29.19,28.1,0.285,31.07,32.09,30.01,0.396,3.789,7.7,0.95,1.198,2.951,873.6006,0
"2023-01-24 16:10:00",16,12.96,456.8,805,73.45,598.4,0.147,5.878,2.521,28.85,29.09,28.61,0.103,30.77,31.31,30.08,0.266,4.38,7.7,0.95,1.328,2.927,873.53,0
"2023-01-24 16:20:00",17,12.96,418,778.8,71.49,554,0.14,5.588,2.396,29.1,29.6,28.61,0.235,30.19,30.9,29.19,0.319,3.935,7.7,0,1.537,2.83,873.5552,0
"2023-01-24 16:30:00",18,12.97,378.4,747.8,68.7,508.4,0.133,5.328,2.285,28.85,29.43,28.51,0.21,30.52,31.17,29.64,0.293,3.995,6.95,0.95,1.425,2.854,873.4974,0
"2023-01-24 16:40:00",19,12.97,341.5,728.1,65.12,466.8,0.128,5.108,2.19,28.85,29.46,28.3,0.296,30.48,31.03,29.6,0.327,3.428,6.2,0.95,1.017,2.951,873.4595,0
"2023-01-24 16:50:00",20,12.95,304.9,706.6,61.49,425.4,0.123,4.904,2.103,28.54,28.89,28.2,0.149,30.96,31.51,30.22,0.214,4.15,8.45,0.95,1.739,2.878,873.3443,0
"2023-01-24 17:00:00",21,12.96,268.3,685,57.41,384.3,0.118,4.718,2.023,28.58,28.88,28.2,0.124,31.01,31.92,30.42,0.317,4.284,7.7,1.7,1.052,2.951,873.3236,0
"2023-01-24 17:10:00",22,12.95,231.6,659.2,53.12,341.8,0.114,4.557,1.954,28.56,29.02,28.13,0.233,31.45,32.06,30.66,0.293,3.295,5.45,0.95,0.829,2.951,873.3031,0
"2023-01-24 17:20:00",23,12.82,194,623.2,48.32,296.5,0.11,4.419,1.895,28.68,28.99,28.48,0.101,31.51,32.06,30.76,0.304,3.912,7.7,0.95,1.181,2.903,873.3541,0
"2023-01-24 17:30:00",24,12.78,158.3,585.8,43.2,252.9,0.108,4.304,1.846,28.17,28.78,27.76,0.244,31.46,31.99,30.8,0.221,4.115,6.95,0.95,1.09,2.854,873.4543,0
"2023-01-24 17:40:00",25,12.75,121.5,534.8,37.43,206.4,0.105,4.21,1.805,28.27,28.61,27.93,0.203,31.28,31.89,30.36,0.34,2.642,5.45,0,1.059,2.806,873.4634,0
"2023-01-24 17:50:00",26,12.73,88.3,464.3,31.81,160.3,0.103,4.137,1.774,28.19,28.62,27.7,0.256,30.7,31.11,30.19,0.209,4.189,8.45,0.95,1.434,2.782,873.472,0
"2023-01-24 18:00:00",27,12.68,57.64,359.7,25.18,110.9,0.102,4.083,1.751,27.73,27.94,27.52,0.081,31.08,31.45,30.53,0.186,3.402,5.45,0,0.83,2.758,873.5104,0
"2023-01-24 18:10:00",28,12.67,30.93,217.8,17.44,62.92,0.101,4.043,1.734,27.39,27.66,27.12,0.116,30.49,31.41,29.57,0.392,3.461,6.2,0.95,1.053,2.709,873.5508,0
"2023-01-24 18:20:00",29,12.65,12.75,10.35,9.62,13.83,0.1,4.015,1.722,26.89,27.22,26.61,0.169,30.9,31.65,29.85,0.525,3.529,6.95,0.95,1.279,2.685,873.5212,0
"2023-01-24 18:30:00",30,12.64,3.477,0.031,1.982,2.073,0.1,3.994,1.713,26.5,26.74,26.23,0.099,31.81,32.23,31.34,0.184,3.841,6.2,1.7,1.109,2.709,873.5117,0
"2023-01-24 18:40:00",31,12.62,0.025,0.009,0,0,0.1,3.989,1.711,26.17,26.4,25.93,0.095,32.18,32.47,31.85,0.135,3.615,6.2,1.7,0.952,2.661,873.6442,0
"2023-01-24 18:50:00",32,12.62,0,0.012,0,0,0.1,3.989,1.711,25.89,26.13,25.69,0.088,32.54,32.88,32.23,0.133,3.541,6.2,1.7,0.813,2.589,873.7157,0
"2023-01-24 19:00:00",33,12.61,0,0.01,0,0,0.1,3.99,1.711,25.63,25.86,25.32,0.097,33.05,33.6,32.68,0.221,3.231,5.45,0.95,0.886,2.54,873.7555,0
"2023-01-24 19:10:00",34,12.6,0,0.014,0,0,0.1,3.99,1.711,25.32,25.53,25.12,0.076,33.62,33.97,33.26,0.146,3.341,5.45,0.95,0.882,2.516,873.8682,0
"2023-01-24 19:20:00",35,12.59,0,0.007,0,0,0.1,3.99,1.711,25.05,25.29,24.81,0.098,34.19,34.76,33.77,0.263,2.834,5.45,0.95,0.888,2.54,874.037,0
"2023-01-24 19:30:00",36,12.56,0,0.004,0,0,0.1,3.99,1.711,24.73,24.98,24.5,0.088,34.96,35.34,34.59,0.161,1.928,3.95,0.95,0.547,2.492,874.2764,0
"2023-01-24 19:40:00",37,12.56,0,0.002,0,0,0.1,3.99,1.711,24.42,24.67,24.2,0.108,35.61,35.95,35.2,0.173,1.804,3.95,0.95,0.517,2.444,874.4113,0
"2023-01-24 19:50:00",38,12.51,0,0.007,0,0,0.1,3.99,1.711,24.22,24.37,24,0.07,35.86,36.5,35.44,0.25,1.583,3.2,0,0.849,2.516,874.5574,0
"2023-01-24 20:00:00",39,12.39,0,0.004,0,0,0.1,3.99,1.711,23.9,24.13,23.69,0.111,36.78,37.31,36.26,0.233,0.375,1.7,0,0.525,2.419,874.679,0
"2023-01-24 20:10:00",40,12.29,0,0.031,0,0,0.1,3.99,1.711,23.78,23.89,23.66,0.04,36.86,37.11,36.5,0.112,1.099,2.45,0,0.544,2.323,874.8699,0
"2023-01-24 20:20:00",41,12.21,0,0.004,0,0,0.1,3.99,1.711,23.23,23.86,22.74,0.324,38.56,40.59,36.67,1.152,1.425,2.45,0,0.638,2.419,875.0095,0
"2023-01-24 20:30:00",42,12.08,0,0.008,0,0,0.1,3.99,1.711,22.87,23.08,22.46,0.121,37.48,39.53,36.43,0.742,1.72,2.45,0.95,0.357,2.371,875.1669,0
"2023-01-24 20:40:00",43,11.9,0,0.004,0,0,0.1,3.99,1.711,22.43,22.74,22.05,0.177,38.42,40.42,37.38,0.665,1.785,2.45,0.95,0.347,2.347,875.2242,0
"2023-01-24 20:50:00",44,11.58,0,0,0,0,0.1,3.99,1.711,21.64,22.33,21,0.32,41.98,44.4,39.15,1.353,1.83,3.2,0.95,0.442,2.202,875.2407,0
"2023-01-24 21:00:00",45,11.32,0,0,0,0,0.1,3.99,1.711,21.46,21.78,20.86,0.242,42.03,44.4,41.27,0.813,1.268,3.2,0,0.608,2.105,875.3223,0
