TOA5	Esolmet_CR6_IP	CR6	9884	CR6.Std.12.01	CPU:20230123_Esolmet_CR6.CR6	37906	Table2_10min																	
TIMESTAMP	RECORD	BattV_Min	PTemp_C	I_glob_Avg	I_dir_Avg	I_dif_Avg	I_glob_inc_Avg	Indice_UV_Avg	Indice_UV_1	Indice_UV_2	AirTC_Avg	AirTC_Max	AirTC_Min	AirTC_Std	RH	RH_Max	RH_Min	WS_ms_Avg	WS_ms_Max	WS_ms_Min	WS_ms_Std	WindDir	Rain_mm_Tot	BP_mbar_Avg
TS	RN	Volts	Deg C	W/m2	W/m2	W/m2	W/m2	W/m2	I-UV	MED/hr	Deg C	Deg C	Deg C	Deg C	%	%	%	meters/second	meters/second	meters/second	meters/second	degrees	mm	mbar
		Min	Smp	Avg	Avg	Avg	Avg	Avg	Smp	Smp	Avg	Max	Min	Std	Smp	Max	Min	Avg	Max	Min	Std	Smp	Tot	Avg
23/01/2023 13:30	0	13.55	26.39	-7999	-7999	-7999	-7790	-4.498	-0.122	-2.096	25.28	25.32	25.24	0.024	33.01	33.11	33	0	0	0	0	0.175	0	-56.79334
23/01/2023 13:40	1	13.55	26.48	-7999	-7999	-7999	-7999	-5.553	-0.151	-2.596	25.36	25.41	25.29	0.035	32.69	32.96	32.61	0	0	0	0	0.177	0	-2.432544
23/01/2023 13:50	2	13.57	26.55	-7999	-7999	-7999	-7999	-6.079	-0.156	-2.682	25.45	25.47	25.41	0.015	32.03	32.92	32.03	0	0	0	0	0.174	0	8.454138
23/01/2023 14:00	3	13.54	26.57	-7999	-7999	-7999	-7999	-6.133	-0.156	-2.681	25.47	25.49	25.45	0.012	32.01	32.15	31.71	0	0	0	0	0.173	0	10.70647
23/01/2023 14:10	4	13.55	26.62	-7999	-7999	-7999	-7999	-6.184	-0.157	-2.695	25.48	25.5	25.46	0.009	32.34	32.38	31.93	0	0	0	0	0.176	0	11.33269
23/01/2023 14:20	5	13.55	26.63	-7999	-7999	-7999	-7999	-6.214	-0.159	-2.727	25.49	25.52	25.46	0.016	31.76	32.46	31.56	0	0	0	0	0.177	0	11.67764
23/01/2023 14:30	6	13.56	26.61	-7999	-7999	-7999	-7999	-6.152	-0.155	-2.657	25.45	25.49	25.4	0.024	31.25	31.82	31.2	0	0	0	0	0.173	0	11.72403
23/01/2023 14:40	7	13.55	26.57	-7999	-7999	-7999	-7999	-6.036	-0.152	-2.615	25.37	25.41	25.33	0.021	31.24	31.31	30.58	0	0	0	0	0.176	0	11.61022
23/01/2023 14:50	8	13.56	26.54	-7999	-7999	-7999	-7999	-5.953	-0.151	-2.587	25.3	25.34	25.27	0.016	30.69	31.08	30.53	0	0	0	0	0.174	0	11.39336
23/01/2023 15:00	9	13.56	26.52	-7999	-7999	-7999	-7999	-5.925	-0.15	-2.577	25.23	25.28	25.2	0.02	31.25	31.26	30.42	0	0	0	0	0.179	0	11.1882
23/01/2023 15:10	10	13.56	26.53	-7999	-7999	-7999	-7999	-5.933	-0.152	-2.606	25.21	25.24	25.19	0.013	30.23	31.21	29.75	0	0	0	0	0.177	0	11.06267
23/01/2023 15:20	11	13.55	26.57	-7999	-7999	-7999	-7999	-6.008	-0.154	-2.647	25.24	25.27	25.22	0.018	30.41	30.54	30.08	0	0	0	0	0.177	0	11.05687
23/01/2023 15:30	12	13.56	26.62	-7999	-7999	-7999	-7999	-6.118	-0.157	-2.691	25.3	25.33	25.27	0.018	30.37	30.67	30.37	0	0	0	0	0.177	0	11.16575
23/01/2023 15:40	13	13.55	26.67	-7999	-7999	-7999	-7999	-6.215	-0.159	-2.727	25.35	25.37	25.33	0.013	30.59	30.74	30.18	0	0	0	0	0.177	0	11.35246
23/01/2023 15:50	14	13.56	26.73	-7999	-7999	-7999	-7999	-6.28	-0.161	-2.764	25.39	25.42	25.37	0.015	29.69	30.52	29.3	0	0	0	0	0.175	0	11.56221
23/01/2023 16:00	15	13.56	26.76	-7999	-7999	-7999	-7999	-6.326	-0.161	-2.762	25.4	25.41	25.37	0.01	28.79	29.47	28.67	0	0	0	0	0.177	0	11.75091
23/01/2023 16:10	16	13.57	26.77	-7999	-7999	-7999	-7999	-6.297	-0.16	-2.742	25.41	25.44	25.39	0.012	28.81	29.14	28.57	0	0	0	0	0.174	0	11.92038
23/01/2023 16:20	17	13.55	26.79	-7999	-7999	-7999	-7999	-6.292	-0.161	-2.76	25.43	25.45	25.4	0.013	29.33	29.44	28.86	0	0	0	0	0.177	0	11.98847
23/01/2023 16:30	18	13.56	26.82	-7999	-7999	-7999	-7999	-6.326	-0.161	-2.756	25.43	25.45	25.42	0.01	29.11	29.45	28.94	0	0	0	0	0.177	0	12.07373
23/01/2023 16:40	19	13.55	26.84	-7999	-7999	-7999	-7999	-6.322	-0.161	-2.758	25.44	25.46	25.4	0.012	29.72	29.72	29.2	0	0	0	0	0.175	0	12.16411
23/01/2023 16:50	20	13.56	26.87	-7999	-7999	-7999	-7999	-6.335	-0.163	-2.792	25.46	25.5	25.43	0.018	29.35	29.67	29.28	0	0	0	0	0.178	0	12.29914
23/01/2023 17:00	21	13.55	26.93	-7999	-7999	-7999	-7999	-6.456	-0.165	-2.829	25.53	25.59	25.48	0.032	29.64	29.64	29.34	0	0	0	0	0.177	0	12.3766
23/01/2023 17:10	22	13.54	26.99	-7999	-7999	-7999	-7999	-6.5	-0.164	-2.818	25.63	25.68	25.59	0.024	28.81	29.8	28.81	0	0	0	0	0.175	0	12.72929
23/01/2023 17:20	23	13.54	27.02	-7999	-7999	-7999	-7999	-6.495	-0.166	-2.854	25.7	25.74	25.64	0.03	29.04	29.04	28.5	0	0	0	0	0.177	0	12.98971
23/01/2023 17:30	24	13.54	27.06	-7999	-7999	-7999	-7999	-6.559	-0.167	-2.867	25.8	25.84	25.76	0.025	29.27	29.34	29	0	0	0	0	0.177	0	13.20755
23/01/2023 17:40	25	13.54	27.1	-7999	-7999	-7999	-7999	-6.578	-0.168	-2.882	25.86	25.88	25.81	0.017	29.33	29.36	29.13	0	0	0	0	0.18	0	13.46268
23/01/2023 17:50	26	13.53	27.14	-7999	-7999	-7999	-7999	-6.605	-0.168	-2.877	25.9	25.94	25.87	0.019	29.71	29.76	29.41	0	0	0	0	0.178	0	13.67477
23/01/2023 18:00	27	13.54	27.17	-7999	-7999	-7999	-7999	-6.601	-0.169	-2.89	25.95	25.98	25.92	0.018	29.89	29.89	29.71	0	0	0	0	0.176	0	13.89208
26/01/2023 18:50	0	13.53	26.41	-7999	-7999	-7999	-4975	-0.1	-4.003	-1.717	25.25	25.26	25.23	0.01	28.14	28.17	27.91	0	0	0	0	0.191	0	-53.34752
26/01/2023 19:00	1	13.54	26.34	-7999	-7999	-7999	-6313	-0.1	-4.004	-1.717	25.21	25.23	25.17	0.014	29.08	29.08	28.11	0	0	0	0	0.188	0	-2.393646
27/01/2023 12:20	2	13.04	24.26	-7999	-7999	-7999	-7999	-0.1	-4.008	-1.719	-212.1	-162.2	-255.3	30.11	-209	-120.3	-209	0	0	0	0	0.197	0	260.0796
27/01/2023 12:30	3	12.92	24.51	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-348	-269.8	-412.7	44.49	-372.4	-223.7	-372.4	0	0	0	0	0.194	0	89.80283
27/01/2023 12:40	4	12.92	24.69	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-456.9	-421.7	-483.2	19.14	-456.1	-382	-456.5	0	0	0	0	0.193	0	22.14191
27/01/2023 12:50	5	12.93	24.82	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-495.7	-484.7	-504.4	5.6	-486.2	-460.9	-487.9	0	0	0	0	0.191	0	7.993539
07/02/2023 10:50	6	12.88	24.78	-7999	-7999	-7999	-7999	-0.1	-4.009	-1.719	-221.6	-109.9	-317.7	64.38	-272	-68.1	-272	0	0	0	0	0.193	0	262.0342
07/02/2023 11:00	7	12.88	25.3	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-392.5	-330.1	-441.9	35.12	-405.8	-284.9	-405.8	0	0	0	0	0.183	0	57.68311
07/02/2023 11:10	8	12.88	25.72	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-472.4	-449.4	-490	12.59	-465.8	-413.7	-466.9	0	0	0	0	0.178	0	18.1065
07/02/2023 11:20	9	12.88	26.02	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-496.9	-489.5	-502.7	3.591	-484.4	-468.9	-486.5	0	0	0	0	0.177	0	10.30126
07/02/2023 11:30	10	12.88	26.25	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-502.8	-499.7	-505.5	1.979	-488.7	-485.2	-491.1	0	0	0	0	0.178	0	9.226141
07/02/2023 11:40	11	12.87	26.44	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-503.7	-501.7	-505.7	1.925	-489.1	-488.9	-491.6	0	0	0	0	0.176	0	9.521143
07/02/2023 11:50	12	12.91	26.62	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-503.5	-501.3	-505.6	1.95	-488.5	-488.5	-491.6	0	0	0	0	0.166	0	10.03187
07/02/2023 12:00	13	12.91	26.81	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-502.9	-500.6	-505.1	1.962	-487.5	-487.5	-490.9	0	0	0	0	0.166	0	10.74245
07/02/2023 12:10	14	12.9	26.93	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-502.1	-499.9	-504.4	1.957	-486.6	-486.6	-489.9	0	0	0	0	0.169	0	11.3907
07/02/2023 12:20	15	12.91	27	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-501.6	-499.5	-503.7	1.942	-486	-486	-489	0	0	0	0	0.167	0	11.77402
07/02/2023 12:30	16	12.92	27.09	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-501.2	-499.1	-503.3	1.941	-485.5	-485.5	-488.5	0	0	0	0	0.167	0	12.14749
07/02/2023 12:40	17	12.91	27.17	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.8	-498.7	-503	1.941	-484.9	-484.9	-487.9	0	0	0	0	0.169	0	12.48127
07/02/2023 12:50	18	12.92	27.2	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.6	-498.6	-502.6	1.931	-484.6	-484.6	-487.4	0	0	0	0	0.169	0	12.51536
07/02/2023 13:00	19	12.91	27.3	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.4	-498.2	-502.5	1.942	-484.2	-484.2	-487.1	0	0	0	0	0.169	0	12.64359
07/02/2023 13:10	20	12.91	27.39	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499.9	-497.8	-502.1	1.945	-483.6	-483.6	-486.7	0	0	0	0	0.167	0	13.23675
07/02/2023 13:20	21	12.91	27.48	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499.5	-497.3	-501.6	1.943	-483	-483	-486.1	0	0	0	0	0.168	0	13.63928
07/02/2023 13:30	22	12.92	27.57	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499	-496.9	-501.2	1.943	-482.3	-482.3	-485.5	0	0	0	0	0.166	0	14.10074
07/02/2023 13:40	23	12.9	27.65	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498.5	-496.4	-500.7	1.942	-481.7	-481.7	-484.8	0	0	0	0	0.182	0	14.5476
07/02/2023 13:50	24	12.91	27.67	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498.2	-496.1	-500.2	1.933	-481.3	-481.3	-484.2	0	0	0	0	0.181	0	14.9013
07/02/2023 14:00	25	12.91	27.68	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498	-496	-499.9	1.928	-481.1	-481.1	-483.8	0	0	0	0	0.182	0	15.04349
07/02/2023 14:10	26	12.9	27.69	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.9	-495.9	-499.9	1.927	-481	-481	-483.7	0	0	0	0	0.18	0	15.07671
07/02/2023 14:20	27	12.91	27.71	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.8	-495.9	-499.8	1.924	-481	-481	-483.6	0	0	0	0	0.182	0	15.14215
07/02/2023 14:30	28	12.89	27.73	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.8	-495.8	-499.7	1.928	-480.9	-480.9	-483.5	0	0	0	0	0.184	0	15.21098
07/02/2023 14:40	29	12.88	27.75	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.7	-495.7	-499.7	1.928	-480.7	-480.7	-483.4	0	0	0	0	0.182	0	15.28632
07/02/2023 14:50	30	12.89	27.76	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.6	-495.6	-499.6	1.927	-480.6	-480.6	-483.3	0	0	0	0	0.182	0	15.34937
07/02/2023 15:00	31	12.89	27.75	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.6	-495.6	-499.5	1.925	-480.6	-480.6	-483.2	0	0	0	0	0.183	0	15.38533
07/02/2023 15:10	32	12.88	27.76	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.6	-495.6	-499.5	1.926	-480.6	-480.6	-483.2	0	0	0	0	0.183	0	15.39001
07/02/2023 15:20	33	12.89	27.78	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.5	-495.6	-499.5	1.927	-480.5	-480.5	-483.2	0	0	0	0	0.182	0	15.45148
07/02/2023 15:30	34	12.88	27.8	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.5	-495.5	-499.4	1.927	-480.4	-480.4	-483.1	0	0	0	0	0.183	0	15.47659
07/02/2023 15:40	35	12.88	27.81	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.4	-495.4	-499.4	1.928	-480.3	-480.3	-483	0	0	0	0	0.18	0	15.56486
07/02/2023 15:50	36	12.88	27.83	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.3	-495.4	-499.3	1.926	-480.2	-480.2	-482.9	0	0	0	0	0.184	0	15.65851
07/02/2023 16:00	37	12.88	27.84	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.3	-495.3	-499.2	1.929	-480.1	-480.1	-482.8	0	0	0	0	0.182	0	15.68465
07/02/2023 16:10	38	12.88	27.85	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.2	-495.2	-499.1	1.928	-480.1	-480.1	-482.7	0	0	0	0	0.185	0	15.74536
07/02/2023 16:20	39	12.88	27.86	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.2	-495.2	-499.1	1.926	-480	-480	-482.6	0	0	0	0	0.186	0	15.78234
07/02/2023 16:30	40	12.88	27.86	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.1	-495.2	-499.1	1.926	-480	-480	-482.6	0	0	0	0	0.186	0	15.79037
07/02/2023 16:40	41	12.88	27.86	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.1	-495.2	-499	1.925	-480	-480	-482.6	0	0	0	0	0.184	0	15.80855
07/02/2023 16:50	42	12.88	27.86	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.1	-495.2	-499	1.926	-480	-480	-482.6	0	0	0	0	0.184	0	15.8145
07/02/2023 17:00	43	12.88	27.88	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-497.1	-495.2	-499.1	1.927	-480	-480	-482.6	0	0	0	0	0.186	0	15.80461
07/02/2023 17:10	44	12.88	27.97	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497	-494.9	-499	1.933	-479.6	-479.6	-482.5	0	0	0	0	0.185	0	15.86311
07/02/2023 17:20	45	12.87	28.07	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-496.6	-494.5	-498.7	1.941	-479	-479	-482.2	0	0	0	0	0.185	0	16.28195
07/02/2023 17:30	46	12.88	28.15	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-496.1	-493.9	-498.3	1.941	-478.3	-478.3	-481.6	0	0	0	0	0.183	0	16.75376
07/02/2023 17:40	47	12.88	28.2	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-495.7	-493.6	-497.8	1.931	-477.8	-477.8	-480.9	0	0	0	0	0.185	0	17.15115
07/02/2023 17:50	48	12.87	28.24	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-495.4	-493.3	-497.4	1.933	-477.4	-477.4	-480.4	0	0	0	0	0.173	0	17.38889
07/02/2023 18:00	49	12.87	28.27	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-495.1	-493.1	-497.2	1.928	-477.1	-477.1	-480	0	0	0	0	0.171	0	17.59809
07/02/2023 18:10	50	12.87	28.29	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-494.9	-492.9	-496.9	1.926	-476.8	-476.7	-479.7	0	0	0	0	0.176	0	17.7689
07/02/2023 18:20	51	12.88	28.24	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-494.8	-492.8	-496.8	1.919	-476.8	-476.5	-479.4	0	0	0	0	0.186	0	17.89962
07/02/2023 18:30	52	12.88	28.18	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-495	-492.9	-497	1.916	-477.2	-476.8	-479.8	0	0	0	0	0.186	0	17.62354
07/02/2023 18:40	53	12.87	28.13	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-495.3	-493.3	-497.4	1.916	-477.7	-477.3	-480.3	0	0	0	0	0.186	0	17.31525
07/02/2023 18:50	54	12.88	28.08	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-495.6	-493.6	-497.7	1.917	-478.2	-477.7	-480.7	0	0	0	0	0.19	0	17.02486
13/02/2023 11:40	55	12.86	25.98	-7999	-7999	-7999	-7999	-0.1	-4.012	-1.72	-174.1	-108.5	-230.9	38.75	-184.3	-66.69	-184.3	0	0	0	0	0.186	0	342.9257
17/02/2023 17:30	0	12.88	29.23	0	0	0	0	0	-0.004	-0.002	-236.9	-202.9	-269	22.71	-222.6	-159.6	-222.6	0	0	0	0	0.169	0	215.853
23/02/2023 09:00	1	13.6	27.1	0	0	0	0	0	-0.004	-0.002	-124	-109.3	-135.4	10.92	-91.8	-67.44	-91.8	0	0	0	0	0.155	0	445.1667
23/02/2023 09:10	2	13.58	27.82	0	0	0	0	0	-0.004	-0.002	-251.7	-152.9	-335.2	56.5	-290.1	-108.8	-290.1	0	0	0	0	0.155	0	212.2329
23/02/2023 09:20	3	0	28.09	0	0	0	0	0	-0.004	-0.002	-398.5	-346.3	-439.5	29.3	-403.1	-301.7	-403.1	0	0	0	0	0.155	0	57.24207
23/02/2023 09:30	4	13.55	28.56	0	0	0	0	0	-0.004	-0.002	-464.3	-445.3	-478.9	10.22	-451.3	-410.2	-452.9	0	0	0	0	0.154	0	27.06757
23/02/2023 09:40	5	13.55	28.88	0	0	0	0	0	-0.004	-0.002	-484.2	-477.8	-489.3	3.118	-466.1	-453.8	-468.5	0	0	0	0	0.151	0	21.3658
23/02/2023 09:50	6	13.55	29.17	0	0	0	0	0	-0.004	-0.002	-488.7	-486.1	-491.1	1.911	-468.9	-466.7	-471.6	0	0	0	0	0.152	0	20.9956
23/02/2023 10:00	7	13.54	29.57	0	0	0	0	0	-0.004	-0.002	-488.6	-485.9	-491.1	1.989	-467.4	-467.4	-471.6	0	0	0	0	0.15	0	22.63185
23/02/2023 10:10	8	13.51	29.74	0	0	0	0	0	-0.004	-0.002	-486.6	-483.9	-489.6	2.041	-465	-465	-470	0	0	0	0	0.156	0	25.98658
23/02/2023 10:20	9	13.5	29.76	0	0	0	0	0	-0.004	-0.002	-485.7	-483.6	-487.9	1.911	-465	-464.7	-467.8	0	0	0	0	0.154	0	26.96824
23/02/2023 10:30	10	13.51	30.3	0	0	0	0	0	-0.004	-0.002	-485	-482	-487.8	2.04	-462.3	-462.3	-467.7	0	0	0	0	0.155	0	26.88967
23/02/2023 10:40	11	13.47	31.25	0	0	0	0	0	-0.004	-0.002	-482	-477.7	-485.7	2.361	-456.9	-456.9	-464.9	0	0	0	0	0.155	0	30.33573
23/02/2023 10:50	12	13.44	32.14	0	0	0	0	0	-0.004	-0.002	-476	-471	-481.2	2.854	-448.1	-448.1	-459.3	0	0	0	0	0.156	0	36.10557
23/02/2023 11:00	13	13.43	32.31	0	0	0	0	0	-0.004	-0.002	-470.1	-466.1	-474.5	2.49	-441.5	-441.5	-450.6	0	0	0	0	0.156	0	40.77853
23/02/2023 11:10	14	13.42	32.08	0	0	0	0	0	-0.004	-0.002	-468.8	-466.1	-471.3	1.932	-443.1	-441.5	-446.1	0	0	0	0	0.156	0	41.17973
23/02/2023 11:20	15	13.42	32.53	0	0	0	0	0	-0.004	-0.002	-468.6	-465.6	-471.3	2.022	-440.7	-440.7	-446.1	0	0	0	0	0.156	0	41.38103
23/02/2023 11:30	16	13.39	32.98	0	0	0	0	0	-0.004	-0.002	-465.9	-462.3	-469.3	2.194	-436.5	-436.5	-443.6	0	0	0	0	0.156	0	43.98239
23/02/2023 11:40	17	13.38	33.29	0	0	0	0	0	-0.004	-0.002	-462.8	-459.6	-465.9	2.078	-433.1	-433.1	-439.4	0	0	0	0	0.158	0	47.20799
23/02/2023 11:50	18	13.34	33.83	0	0	0	0	0	-0.004	-0.002	-459.3	-455.3	-463.2	2.336	-427.7	-427.7	-436	0	0	0	0	0.157	0	50.59449
23/02/2023 12:00	19	13.34	34.31	0	0	0	0	0	-0.004	-0.002	-454.9	-450.9	-458.8	2.342	-422.2	-422.2	-430.6	0	0	0	0	0.16	0	54.81519
23/02/2023 13:50	20	13.35	34.43	0	0	0	0	0	-0.004	-0.002	-473.2	-468.4	-477	3.02	-441.4	-441.4	-448.5	0	0	0	0	0.16	0	32.42122
23/02/2023 14:00	21	13.31	34.45	0	0	0	0	0	-0.004	-0.002	-460.4	-452.3	-470.7	4.9	-424.3	-424.3	-443.2	0	0	0	0	0.162	0	50.7205
23/02/2023 14:10	22	13.31	34.2	0	0	0	0	0	-0.004	-0.002	-451.5	-448.4	-455.6	2.234	-419.3	-419.3	-426.9	0	0	0	0	0.161	0	60.09565
23/02/2023 14:20	23	13.32	34.17	0	0	0	0	0	-0.004	-0.002	-449.7	-447.6	-452	1.914	-418.2	-418.2	-422.4	0	0	0	0	0.16	0	61.34231
23/02/2023 14:30	24	13.31	34	0	0	0	0	0	-0.004	-0.002	-449.7	-447.6	-451.9	1.875	-419	-418.2	-422.1	0	0	0	0	0.163	0	61.05101
23/02/2023 14:40	25	13.28	33.96	0	0	0	0	0	-0.004	-0.002	-450.5	-448.3	-452.7	1.875	-419.9	-419.1	-423.1	0	0	0	0	0.161	0	60.17499
23/02/2023 14:50	26	13.29	33.89	0	0	0	0	0	-0.004	-0.002	-451.2	-449	-453.4	1.877	-420.9	-420	-424	0	0	0	0	0.159	0	59.81283
23/02/2023 15:00	27	13.27	34.13	0	0	0	0	0	-0.004	-0.002	-451.5	-449.2	-453.5	1.905	-420.3	-420.3	-424.1	0	0	0	0	0.161	0	59.94896
23/02/2023 15:10	28	13.27	34.44	0	0	0	0	0	-0.004	-0.002	-450	-447.1	-452.9	2.031	-417.7	-417.7	-423.4	0	0	0	0	0.16	0	61.73846
23/02/2023 15:20	29	13.27	34.77	0	0	0	0	0	-0.004	-0.002	-447.4	-444	-450.7	2.152	-414	-414	-420.8	0	0	0	0	0.165	0	64.55502
23/02/2023 15:30	30	13.27	35.01	0	0	0	0	0	-0.004	-0.002	-444.3	-441.1	-447.6	2.121	-410.4	-410.4	-417	0	0	0	0	0.163	0	67.59856
23/02/2023 15:40	31	13.27	35.2	0	0	0	0	0	-0.004	-0.002	-441.6	-438.6	-444.7	2.061	-407.3	-407.3	-413.5	0	0	0	0	0.163	0	70.07551
23/02/2023 15:50	32	13.23	35.34	0	0	0	0	0	-0.004	-0.002	-439.3	-436.4	-442.2	2.032	-404.7	-404.7	-410.5	0	0	0	0	0.162	0	72.3838
23/02/2023 16:00	33	13.24	35.37	0	0	0	0	0	-0.004	-0.002	-437.7	-435.4	-440.1	1.924	-403.4	-403.4	-407.9	0	0	0	0	0.163	0	73.75168
23/02/2023 16:10	34	13.24	35.37	0	0	0	0	0	-0.004	-0.002	-436.9	-434.8	-439.1	1.899	-402.7	-402.7	-406.7	0	0	0	0	0.165	0	74.30565
23/02/2023 16:20	35	13.24	35.34	0	0	0	0	0	-0.004	-0.002	-436.7	-434.8	-438.7	1.878	-402.8	-402.7	-406.2	0	0	0	0	0.164	0	74.28397
23/02/2023 16:30	36	13.24	35.29	0	0	0	0	0	-0.004	-0.002	-436.9	-435	-439	1.874	-403.1	-402.8	-406.4	0	0	0	0	0.165	0	73.82542
23/02/2023 16:40	37	13.24	35.25	0	0	0	0	0	-0.004	-0.002	-437.4	-435.3	-439.5	1.874	-403.8	-403.2	-407.1	0	0	0	0	0.165	0	73.27097
23/02/2023 16:50	38	13.23	35.22	0	0	0	0	0	-0.004	-0.002	-437.8	-435.8	-439.8	1.874	-404.2	-403.8	-407.5	0	0	0	0	0.163	0	72.83412
23/02/2023 17:00	39	13.23	35.09	0	0	0	0	0	-0.004	-0.002	-438.4	-436.2	-440.7	1.877	-405.2	-404.2	-408.5	0	0	0	0	0.165	0	72.1504
23/02/2023 17:10	40	13.27	34.94	0	0	0	0	0	-0.004	-0.002	-439.5	-437.1	-442	1.886	-406.8	-405.4	-410	0	0	0	0	0.164	0	70.80055
23/02/2023 17:20	41	13.19	34.68	0	0	0	0	0	-0.004	-0.002	-441.1	-438.5	-443.9	1.911	-409.1	-407	-412.3	0	0	0	0	0.162	0	69.12437
23/02/2023 17:30	42	13.15	34.39	0	0	0	0	0	-0.004	-0.002	-443.5	-440.5	-446.6	1.977	-412.4	-409.4	-415.5	0	0	0	0	0.165	0	66.5565
23/02/2023 17:40	43	13.12	34.08	0	0	0	0	0	-0.004	-0.002	-446.4	-443.2	-449.5	1.995	-416	-412.7	-419.1	0	0	0	0	0.161	0	63.72811
23/02/2023 17:50	44	13.11	33.75	0	0	0	0	0	-0.004	-0.002	-449.4	-446.2	-452.6	2.002	-419.8	-416.4	-422.8	0	0	0	0	0.159	0	60.70443
23/02/2023 18:00	45	13.07	33.41	0	0	0	0	0	-0.004	-0.002	-452.5	-449.3	-455.8	2.021	-423.8	-420.2	-426.8	0	0	0	0	0.159	0	57.68638
23/02/2023 18:10	46	13.08	33.04	0	0	0	0	0	-0.004	-0.002	-455.7	-452.5	-459	2.027	-427.9	-424.2	-430.8	0	0	0	0	0.159	0	54.57286
23/02/2023 18:20	47	13.07	32.59	0	0	0	0	0	-0.004	-0.002	-459.1	-455.7	-462.6	2.071	-432.4	-428.3	-435.2	0	0	0	0	0.159	0	51.24227
23/02/2023 18:30	48	13.03	31.98	0	0	0	0	0	-0.004	-0.002	-463.1	-459.4	-466.9	2.164	-437.9	-432.9	-440.6	0	0	0	0	0.156	0	47.2356
23/02/2023 18:40	49	13.04	31.22	0	0	0	0	0	-0.004	-0.002	-468	-463.9	-472.2	2.33	-444.6	-438.5	-447.2	0	0	0	0	0.158	0	42.33271
23/02/2023 18:50	50	13.03	30.38	0	0	0	0	0	-0.004	-0.002	-473.7	-469.3	-478.1	2.442	-452.3	-445.4	-454.8	0	0	0	0	0.151	0	36.61698
23/02/2023 19:00	51	13.02	29.59	0	0	0	0	0	-0.004	-0.002	-479.7	-475.3	-484	2.419	-459.9	-453.1	-462.4	0	0	0	0	0.151	0	30.84893
23/02/2023 19:10	52	13	28.91	0	0	0	0	0	-0.004	-0.002	-485.1	-481	-489.1	2.29	-466.7	-460.7	-469.1	0	0	0	0	0.15	0	25.98407
