"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230123_Esolmet_CR6.CR6","37906","Table1_60min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glob_Avg","I_dir_Avg","I_dif_Avg","I_glob_inc_Avg","Indice_UV_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","BP_mbar_Avg","Rain_mm_Tot"
"TS","RN","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","I-UV","W/m2","MED/hr","Deg C","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","meters/second","degrees","mbar","mm"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Max","Min","Std","Smp","Max","Min","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-01-23 14:00:00",0,13.59,26.57,-7999,-7999,-7999,-7999,-5.754,-0.156,-2.681,25.41,25.49,25.24,0.068,32.01,33.11,31.71,0,0,0,0,0.173,-1.761552,0
"2023-01-23 15:00:00",1,13.59,26.52,-7999,-7999,-7999,-7999,-6.077,-0.15,-2.577,25.39,25.52,25.2,0.098,31.25,32.46,30.42,0,0,0,0,0.179,11.48769,0
"2023-01-23 16:00:00",2,13.58,26.76,-7999,-7999,-7999,-7999,-6.147,-0.161,-2.762,25.31,25.42,25.19,0.07,28.79,31.21,28.67,0,0,0,0,0.177,11.32515,0
"2023-01-23 17:00:00",3,13.58,26.93,-7999,-7999,-7999,-7999,-6.338,-0.165,-2.829,25.45,25.59,25.39,0.044,29.64,29.72,28.57,0,0,0,0,0.177,12.13707,0
"2023-01-23 18:00:00",4,13.55,27.17,-7999,-7999,-7999,-7999,-6.556,-0.169,-2.89,25.81,25.98,25.59,0.115,29.89,29.89,28.5,0,0,0,0,0.176,13.32601,0
"2023-01-26 19:00:00",0,13.55,26.34,-7999,-7999,-7999,-5931,-0.1,-4.004,-1.717,25.22,25.26,25.17,0.022,29.08,29.08,27.91,0,0,0,0,0.188,-16.95189,0
"2023-02-07 11:00:00",1,12.9,25.3,-7999,-7999,-7999,-7999,-0.1,-4.01,-1.719,-307,-109.9,-441.9,99.9,-405.8,-68.1,-405.8,0,0,0,0,0.183,159.8586,0
"2023-02-07 12:00:00",2,12.92,26.81,-7999,-7999,-7999,-7999,-0.1,-4.011,-1.72,-497,-449.4,-505.7,12.57,-487.5,-413.7,-491.6,0,0,0,0,0.166,11.32156,0
