TOA5,Esolmet_CR6_IP,CR6.Std.12.01,CPU:20230531_Esolmet_CR6.CR6,58573,,,,,,,,,,,,,,
TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Avg,AirTC_Avg,AirTC_Max,AirTC_Min,AirTC_Std,RH,RH_Max,RH_Min,WS_ms_Avg,WS_ms_Max,WS_ms_Min,WS_ms_Std,WindDir,CS106_PB_Avg,Rain_mm_Tot
TS,RN,W/m2,W/m2,W/m2,Deg C,Deg C,Deg C,Deg C,%,%,%,meters/second,meters/second,meters/second,meters/second,degrees,mbar,mm
,,Avg,Avg,Avg,Avg,Max,Min,Std,Smp,Max,Min,Avg,Max,Min,Std,Smp,Avg,Tot
31/05/2023 19:00,0,9.46,10.85,7.205,27.75,27.78,27.72,0.023,60.46,60.46,60.1,0,0,0,0,344.7,641.4001,0
31/05/2023 19:10,1,8.28,1.209,6.596,27.52,27.53,27.5,0.016,60.98,61.05,60.79,0,0,0,0,325.8,641.4002,0
31/05/2023 19:20,2,0.937,3.795,0.305,27.48,27.48,27.48,0.001,60.98,60.98,60.66,0,0,0,0,325,641.3995,0
31/05/2023 19:30,3,0,4.217,0,27.27,27.27,27.27,0,61.18,61.18,61.18,0,0,0,0,324.9,641.4,0
31/05/2023 19:40,4,0,3.655,0,27.14,27.29,27.01,0.085,61.51,61.91,60.77,0,0,0,0,328.3,641.4001,0
31/05/2023 19:50,5,0,5.9,0,26.97,27,26.94,0.013,61.01,61.85,60.88,0,0,0,0,306.1,641.4,0
31/05/2023 20:00,6,0,8.99,0,27.02,27.11,26.9,0.07,60.84,60.86,59.83,0,0,0,0,341.5,641.4002,0
31/05/2023 20:10,7,0,11.79,0,26.84,26.87,26.78,0.027,61.32,61.32,60.32,0,0,0,0,329.4,641.4001,0
31/05/2023 20:20,8,0,11.35,0,26.71,26.74,26.68,0.02,61.42,61.6,61.08,0,0,0,0,339.5,641.4003,0
31/05/2023 20:30,9,0,4.474,0,26.62,26.67,26.6,0.018,61.9,62.61,61.36,0,0,0,0,16.99,641.3997,0
31/05/2023 20:40,10,0,6.347,0,26.63,26.69,26.57,0.046,61.23,61.67,60.95,0,0,0,0,340,641.3999,0
31/05/2023 20:50,11,0,9.44,0,26.57,26.61,26.5,0.032,60.67,61.47,60.66,0,0,0,0,293.6,641.3998,0
31/05/2023 21:00,12,0,8.75,0,26.57,26.61,26.55,0.017,61.26,61.92,60.72,0,0,0,0,317.5,641.4,0
31/05/2023 21:10,13,0,9.78,0,26.33,26.4,26.25,0.048,62.97,62.97,61.93,0,0,0,0,4.002,641.4001,0
31/05/2023 21:20,14,0,0,0,25.78,25.94,25.63,0.102,65.26,65.37,63.98,0,0,0,0,316.5,641.3996,0
