"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230313_Esolmet_CR6.CR.CR6","45008","Table1_60min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","BP_mbar_Avg","Rain_mm_Tot"
"TS","RN","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","W/m2","I-UV","MED/hr","Deg C","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","meters/second","degrees","mbar","mm"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Max","Min","Std","Smp","Max","Min","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-03-14 19:00:00",0,12.89,27.22,12.17,0.003,10.07,10.1,-0.001,0.009,0.004,26.83,27.25,26.37,0.276,28.84,28.84,25.71,1.868,3.825,0,0.773,0,1012.083,0
"2023-03-14 20:00:00",1,10.86,25.57,0,0,0,0,-0.007,0.013,0.006,24.98,26.35,23.83,0.929,36.81,37.87,28.95,3.905,6.25,1.85,1.076,0,1016.904,0
"2023-03-14 21:00:00",2,10.68,24.17,0,0.03,0,0,-0.009,-0.002,-0.001,23.35,24.21,22.01,0.745,48.94,48.98,36.29,3.546,6.1,0.275,1.434,0,1018.547,0
"2023-03-14 22:00:00",3,10.66,22.05,0,0.003,0,0,-0.059,-4,-1.715,21.68,21.98,21.52,0.114,49.64,49.64,48.39,0.722,2.725,0,0.631,0,1019.683,0
"2023-03-14 23:00:00",4,10.66,21.7,0,0.051,0,0,-0.1,-4,-1.715,21.56,21.76,21.32,0.142,48.77,50.24,48.31,1.438,2.625,0.4,0.398,0,1019.518,0
"2023-03-15 00:00:00",5,10.65,22.06,0,0.06,0,0,-0.1,-4,-1.715,21.48,21.66,21.2,0.108,46.6,48.98,46.58,2.058,3.15,1.25,0.363,0,1019.281,0
"2023-03-15 01:00:00",6,10.61,22.27,0,0.033,0,0,-0.1,-4,-1.715,21.55,21.94,20.93,0.303,50.12,50.12,44.19,2.334,5.825,0,0.998,0,1019.197,0
"2023-03-15 02:00:00",7,10.61,21.3,0,0.001,0,0,-0.1,-4,-1.715,20.4,20.94,20.1,0.265,53.6,53.68,50,0.955,3.975,0,0.833,0,1019.441,0
"2023-03-15 03:00:00",8,10.57,20.97,0,0.019,0,0,-0.1,-4,-1.715,20.32,20.52,20.08,0.116,53.34,53.96,52.4,0.821,2.4,0,0.626,0,1019.193,0
"2023-03-15 04:00:00",9,10.57,20.75,0,0.028,0,0,-0.086,0.012,0.005,20.31,20.49,20.08,0.117,54.91,55.15,52.25,1.01,2.375,0,0.717,0,1019.026,0
"2023-03-15 05:00:00",10,10.54,20.25,0,0.025,0,0,-0.014,-0.157,-0.068,19.86,20.14,19.44,0.189,51.04,55.89,49.75,1.285,2.825,0,1.026,0,1018.902,0
"2023-03-15 06:00:00",11,10.52,20.14,0,0.025,0,0,-0.021,-0.076,-0.033,19.54,20.16,19.24,0.242,47.7,51.57,47.15,1.148,2.625,0,0.724,0,1018.945,0
"2023-03-15 07:00:00",12,10.54,20.25,0.766,0.024,0,0.632,-0.027,0.03,0.013,19.78,20.08,19.67,0.072,50.25,50.39,48.24,0.804,2.55,0,0.798,0,1019.325,0
"2023-03-15 08:00:00",13,10.6,20.25,50.38,0.218,0,47.2,-0.024,0.301,0.129,19.55,19.96,19.17,0.196,50.95,53.99,50.07,0.694,2.3,0,0.712,0,1019.72,0
"2023-03-15 09:00:00",14,10.96,21.81,128,0.838,0,123.2,0.003,-0.019,-0.008,20.84,21.84,19.91,0.434,48.76,51.34,48.76,0.107,1.2,0,0.257,0,1020.345,0
"2023-03-15 10:00:00",15,13.47,25.08,347.5,26.88,244.9,337.5,0.036,2.265,0.971,23.05,23.84,21.88,0.532,45.1,48.39,43.43,0.966,2.425,0,0.733,0,1020.722,0
"2023-03-15 11:00:00",16,13.54,28.12,644.2,183.5,375.3,647.5,0.092,4.967,2.13,24.32,25.63,23.4,0.608,36.61,45.65,36.56,1.976,3.8,0,0.857,0,1020.673,0
"2023-03-15 12:00:00",17,13.53,28.36,536.1,1114,354.7,458.9,0.084,1.114,0.478,25.23,25.93,24.9,0.231,37.98,39.37,35.7,1.989,4.425,0,1.088,0,1020.305,0
"2023-03-15 13:00:00",18,13.48,29.37,565.9,101.6,361.9,569.4,0.116,7.367,3.159,25.97,27.44,25.22,0.562,34.75,39.53,34.7,1.349,3.45,0,0.941,0,1019.334,0
