"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230531_Esolmet_CR6.CR6","61732","Table1_60min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","I_uv_Avg","Indice_UV_1","Indice_UV_2","I_UVA_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","W/m2","I-UV","MED/hr","W/m2","Deg C","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","meters/second","degrees","mbar","mm"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Max","Min","Std","Smp","Max","Min","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-06-01 13:00:00",0,13.24,36.49,985,656.2,262.4,876,0.205,8.2,3.517,58.7,31.48,32.13,30.86,0.314,46.18,47.26,44.14,2.275,4.15,0,0.941,154.6,1009.739,0
"2023-06-01 14:00:00",1,13.19,37.18,830,451.3,313.8,737.2,0.169,6.747,2.893,49.68,32.03,33.05,31.01,0.525,43.3,46,40.57,1.792,4.2,0,0.919,136.5,1015.397,0
"2023-06-01 15:00:00",2,13.21,36.97,553,203.1,310,497,0.106,4.433,1.901,34.52,32.45,32.94,31.98,0.241,40.88,43.41,39.83,2.578,6.325,0,1.182,153.5,1014.677,0
"2023-06-01 16:00:00",3,12.97,36.35,357.7,178.5,182.5,327.2,0.055,0.968,0.415,20.97,32.66,33.9,31.8,0.603,42.08,43.12,38.28,1.759,4.725,0,0.977,273.1,1013.94,0
"2023-06-01 17:00:00",4,12.26,34.59,155.9,8.68,133.3,144.8,0.022,0.757,0.325,11.12,31.94,32.4,30.96,0.405,46.03,47.61,40.61,1.39,3.075,0,0.752,315.1,1013.554,0
"2023-06-01 18:00:00",5,10.89,34.2,197.1,106.4,135.1,168,0.013,0.144,0.062,9.73,31.62,32.03,30.99,0.259,42.88,47.67,42.42,1.538,3.75,0,0.979,14.45,1013.415,0
"2023-06-01 19:00:00",6,12.19,29.96,34.84,0.395,29.47,33.92,0.001,0.02,0.009,0.535,27.52,28.17,27.08,0.385,71.91,78.26,70.21,1.455,1.75,0,0.422,321.3,987.848,0
"2023-06-01 20:00:00",7,12.18,29.55,5.741,0.151,5.006,6.302,0,0.011,0.005,0.082,28.36,29.27,27.22,0.534,65.53,76,57.75,1.376,2.2,0,0.398,32.68,1014.241,0
"2023-06-01 21:00:00",8,12.19,28.74,0.008,0.012,0,0,0,0.01,0.004,0,27.27,28.09,26.69,0.464,70.33,72.56,62.88,1.304,2.675,0.25,0.413,309.6,1015.041,0
